Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
LK0001,Locker 8ទ្វារ (SB 019),,LK-01,1,140,0,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
LK0002,Locker 9ទ្វារ (SB 018),,LK-01,1,145,0,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
LK0003,Locker 12ទ្វារ (SB 020),,LK-01,1,150,0,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
LK0004,Locker 15ទ្វារ (SB 021),,LK-01,1,160,0,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
LK0005,Locker 18ទ្វារ (SB 022),,LK-01,1,170,0,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
LK0006,Locker 33ទ្វារ (SB 023),,LK-01,1,230,0,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
LK0007,Locker Sencury 9ទ្វារ ,,LK-01,1,256,0,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
LK0008,Locker Sencury 12ទ្វារ ,,LK-01,1,271,0,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
LK0009,Locker Sencury 18ទ្វារ ,,LK-01,1,301,0,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
LK0010,Locker Standard 9ទ្វារ ,,LK-01,1,0,0,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
LK0011,Locker Standard 12ទ្វារ ,,LK-01,1,0,0,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
LK0012,Locker Standard 15ទ្វារ ,,LK-01,1,0,0,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
LK0013,Locker Standard 18ទ្វារ ,,LK-01,1,0,0,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
LK0014,Locker Standard 32ទ្វារ ,,LK-01,1,288,0,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
LK0015,Locker ML 6ទ្វារ ,,LK-01,1,140,0,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
LK0016,Locker ML 9ទ្វារ ,,LK-01,1,150,0,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
LK0017,Locker ML 12ទ្វារ ,,LK-01,1,150,0,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
